Episodic Return: 251.95339965820312, Time Step 498000
Episodic Return: 325.1968688964844, Time Step 499000
Episodic Return: 362.6915588378906, Time Step 500000
Episodic Return: 381.436279296875, Time Step 501000
Episodic Return: 325.207275390625, Time Step 502000
Episodic Return: 338.8907165527344, Time Step 503000
Episodic Return: 327.8835144042969, Time Step 504000
Episodic Return: 338.8345947265625, Time Step 505000
Episodic Return: 352.878173828125, Time Step 506000
Episodic Return: 356.6396484375, Time Step 507000
Episodic Return: 350.5458068847656, Time Step 508000
Episodic Return: 351.2076110839844, Time Step 509000
Episodic Return: 357.8367004394531, Time Step 510000
Episodic Return: 266.8854064941406, Time Step 511000
Episodic Return: 336.3052673339844, Time Step 512000
Episodic Return: 351.9086608886719, Time Step 513000
Episodic Return: 346.2386474609375, Time Step 514000
Episodic Return: 312.4377746582031, Time Step 515000
Episodic Return: 349.2475891113281, Time Step 516000
Episodic Return: 333.0777893066406, Time Step 517000
Episodic Return: 343.0424499511719, Time Step 518000
Episodic Return: 323.8948669433594, Time Step 519000
Episodic Return: 346.24090576171875, Time Step 520000
Episodic Return: 372.1305847167969, Time Step 521000
Episodic Return: 313.666015625, Time Step 522000
Episodic Return: 322.4293212890625, Time Step 523000
Episodic Return: 337.99322509765625, Time Step 524000
Episodic Return: 305.8533935546875, Time Step 525000
Episodic Return: 325.09600830078125, Time Step 526000
Episodic Return: 346.23846435546875, Time Step 527000
Episodic Return: 359.16912841796875, Time Step 528000
Episodic Return: 346.751953125, Time Step 529000
Episodic Return: 348.35638427734375, Time Step 530000
Episodic Return: 363.7567138671875, Time Step 531000
Episodic Return: 361.9988708496094, Time Step 532000
Episodic Return: 358.0202331542969, Time Step 533000
Episodic Return: 353.49188232421875, Time Step 534000
Episodic Return: 242.49896240234375, Time Step 535000
Episodic Return: 366.46832275390625, Time Step 536000
Episodic Return: 375.20892333984375, Time Step 537000
Episodic Return: 172.564208984375, Time Step 538000
Episodic Return: 344.4980163574219, Time Step 539000
Episodic Return: 368.2559509277344, Time Step 540000
Episodic Return: 247.2353057861328, Time Step 541000
Episodic Return: 356.0777587890625, Time Step 542000
Episodic Return: 345.47479248046875, Time Step 543000
Episodic Return: 317.5057373046875, Time Step 544000
Episodic Return: 356.33599853515625, Time Step 545000
Episodic Return: 366.42083740234375, Time Step 546000
Episodic Return: 359.4033508300781, Time Step 547000
Episodic Return: 341.42669677734375, Time Step 548000
Episodic Return: 359.36395263671875, Time Step 549000
Episodic Return: 348.1188659667969, Time Step 550000
Episodic Return: 344.5883483886719, Time Step 551000
Episodic Return: 338.3762512207031, Time Step 552000
Episodic Return: 330.9277648925781, Time Step 553000
Episodic Return: 118.62437438964844, Time Step 554000
Episodic Return: 301.94317626953125, Time Step 555000
Episodic Return: 348.82415771484375, Time Step 556000
Episodic Return: 374.01739501953125, Time Step 557000
Episodic Return: 184.3005828857422, Time Step 558000
Episodic Return: 346.25311279296875, Time Step 559000
Episodic Return: 325.26806640625, Time Step 560000
Episodic Return: 352.2522888183594, Time Step 561000
Episodic Return: 347.482177734375, Time Step 562000
Episodic Return: 289.40484619140625, Time Step 563000
Episodic Return: 262.7184143066406, Time Step 564000
Episodic Return: 289.9440612792969, Time Step 565000
Episodic Return: 357.129150390625, Time Step 566000
Episodic Return: 348.55926513671875, Time Step 567000
Episodic Return: 87.20347595214844, Time Step 568000
Episodic Return: 357.60333251953125, Time Step 569000
Episodic Return: 362.3054504394531, Time Step 570000
Episodic Return: 362.88720703125, Time Step 571000
Episodic Return: 347.771240234375, Time Step 572000
Episodic Return: 366.8808898925781, Time Step 573000
Episodic Return: 361.8544616699219, Time Step 574000
Episodic Return: 363.8507385253906, Time Step 575000
Episodic Return: 370.1332702636719, Time Step 576000
Episodic Return: 371.54205322265625, Time Step 577000
Episodic Return: 288.7886047363281, Time Step 578000
Episodic Return: 367.8445129394531, Time Step 579000
Episodic Return: 374.6034240722656, Time Step 580000
Episodic Return: 373.735107421875, Time Step 581000
Episodic Return: 374.466796875, Time Step 582000
Episodic Return: 355.2279968261719, Time Step 583000
Episodic Return: 357.818603515625, Time Step 584000
